,Date,Open,High,Low,Close
443,2016-06-20,96.0,96.57,95.03,95.1
444,2016-06-17,96.62,96.65,95.3,95.33
445,2016-06-16,96.45,97.75,96.07,97.55
446,2016-06-15,97.82,98.41,97.03,97.14
447,2016-06-14,97.32,98.475,96.75,97.46
448,2016-06-13,98.69,99.12,97.1,97.34
449,2016-06-10,98.53,99.3457,98.48,98.83
450,2016-06-09,98.5,99.99,98.46,99.65
451,2016-06-08,99.02,99.56,98.68,98.94
452,2016-06-07,99.25,99.87,98.96,99.03
453,2016-06-06,97.99,101.89,97.55,98.63
454,2016-06-03,97.79,98.27,97.45,97.92
455,2016-06-02,97.6,97.84,96.63,97.72
456,2016-06-01,99.02,99.54,98.33,98.46
457,2016-05-31,99.6,100.4,98.82,99.86
458,2016-05-27,99.44,100.47,99.245,100.35
459,2016-05-26,99.68,100.73,98.64,100.41
460,2016-05-25,98.67,99.74,98.11,99.62
461,2016-05-24,97.22,98.09,96.84,97.9
462,2016-05-23,95.87,97.19,95.67,96.43
463,2016-05-20,94.64,95.43,94.52,95.22
464,2016-05-19,94.64,94.64,93.57,94.2
465,2016-05-18,94.16,95.21,93.89,94.56
466,2016-05-17,94.55,94.7,93.01,93.49
467,2016-05-16,92.39,94.39,91.65,93.88
468,2016-05-13,90.0,91.67,90.0,90.52
469,2016-05-12,92.72,92.78,89.47,90.34
470,2016-05-11,93.48,93.57,92.46,92.51
471,2016-05-10,93.33,93.57,92.11,93.42
472,2016-05-09,93.0,93.77,92.59,92.79
473,2016-05-06,93.37,93.45,91.85,92.72
474,2016-05-05,94.0,94.07,92.68,93.24
475,2016-05-04,95.2,95.9,93.82,94.19
476,2016-05-03,94.2,95.74,93.68,95.18
477,2016-05-02,93.965,94.08,92.4,93.64
478,2016-04-29,93.99,94.72,92.51,93.74
479,2016-04-28,97.61,97.88,94.25,94.83
480,2016-04-27,96.0,98.71,95.68,97.82
481,2016-04-26,103.91,105.3,103.91,104.35
482,2016-04-25,105.0,105.65,104.51,105.08
483,2016-04-22,105.01,106.48,104.62,105.68
484,2016-04-21,106.93,106.93,105.52,105.97
485,2016-04-20,106.64,108.09,106.06,107.13
486,2016-04-19,107.88,108.0,106.23,106.91
487,2016-04-18,108.89,108.95,106.94,107.48
488,2016-04-15,112.11,112.3,109.73,109.85
489,2016-04-14,111.62,112.39,111.33,112.1
490,2016-04-13,110.8,112.34,110.8,112.04
491,2016-04-12,109.34,110.5,108.66,110.44
492,2016-04-11,108.97,110.61,108.83,109.02
493,2016-04-08,108.91,109.77,108.17,108.66
494,2016-04-07,109.95,110.42,108.121,108.54
495,2016-04-06,110.23,110.98,109.2,110.96
496,2016-04-05,109.51,110.73,109.42,109.81
497,2016-04-04,110.42,112.19,110.27,111.12
498,2016-04-01,108.78,110.0,108.2,109.99
499,2016-03-31,109.72,109.9,108.88,108.99
500,2016-03-30,108.65,110.42,108.6,109.56
501,2016-03-29,104.89,107.79,104.88,107.68
502,2016-03-28,106.0,106.19,105.06,105.19
